OrgID,OrgType
1,academia
2,accountancy
3,activism
4,advertising
5,agriculture
6,artist (independent)
7,banking / investing / trade
8,biochemistry / (bio)medics
9,catering / food
10,charity
11,chemistry
12,cleaning
13,consultancy
14,delivery
15,education
16,energy
17,entertainment
18,entrepreneur
19,environment
20,fishery
21,government
22,health
23,ideological affiliation
24,IT / (digital) tech
25,international affairs
26,marketing / e-commerce
27,media / culture
28,minorities
29,mobility
30,publisher
31,recruitment
32,religious
33,security
34,steal industry
35,taxes
36,telecom
37,tobacco
38,union
39,youth organisation
