PartyID,PartyName
1,ACRE / ND (conservatives)
2,ALDE / ELF (liberals)
3,ECPM / SALLUX (christian-conservatives)
4,EDP / IED (centrists)
5,EFA / CMC (regionalists)
6,EGP/GEF (greens)
7,EL / TE (socialists/communists)
8,EPP / WMCES (christian-democrats)
9,MENL/ FENL (nationalist-conservative/eurosceptic)
10,PES / FEPS (social-democrats)
11,EAF / EFF (nationalist-conservative/eurosceptic)
12,ADDE / IDDE (nationalist-conservative/eurosceptic)
13,EUD (OEIC) (euroskeptic)
14,MELD (FELD) (nationalist conservative)
15,APF (Terra Nostra) (nazi / extreme right)

